Name,SystemVerilog,VHDL,Presetted values
Conditional assignment,"assign y = s ? d1 : d0;
assign y = s[1] ? (s[0] ? D3 : d2) : (s[0] ? d1 : d0);","y <= d1 when s else d0
y <= d0 when s=""00"" else
  d1 when s=""01"" else
  d2 when s=""10"" else
  d3;
(switch case)
with s select y <=
  d0 when ""00"",
  d1 when ""01"",
  d2 when ""10"",
  d3 when others;",
Tristate buffer assignment,"module tristate (
    input  logic [3:0] a,
    input  logic       en,
    output tri   [3:0] y
);
    assign y = en ? a : 4'bz;
endmodule","library IEEE;
use IEEE.STD_LOGIC_1164.ALL;

entity tristate is
    port (
        a  : in  STD_LOGIC_VECTOR(3 downto 0);
        en : in  STD_LOGIC;
        y  : out STD_LOGIC_VECTOR(3 downto 0)
    );
end tristate;

architecture synth of tristate is
begin
    y <= a when en else (others => 'Z');
end synth;",
"Bit swizzling
Concatenate signals to buses or slice a bus",,,
,,,
,,,
,SystemVerilog,VHDL,Synthesized output
Logic gates,"module gates(input logic[3:0] a, b, output logic[3:0] y1, y2, y3, y4, y5);
    assign y1 = a&b;
    assign y2 = a|b;
    assign y3 = a^b;
    assign y4 = ~(a&b);
    assign y5 = ~(a|b);
endmodule","library IEEE;
use IEEE.STD_LOGIC_1164.ALL;

entity gates is
    port (
        a, b : in  STD_LOGIC_VECTOR(3 downto 0);
        y1, y2, y3, y4, y5 : out STD_LOGIC_VECTOR(3 downto 0)
    );
end gates;

architecture synth of gates is
begin
    -- Five different two-input logic gates acting on 4-bit buses
    y1 <= a and b;
    y2 <= a or b;
    y3 <= a xor b;
    y4 <= a nand b;
    y5 <= a nor b;
end synth;","a[3:0], b[3:0] -> (y1=ab, y2=a+b, y3=a^b, y4=(-y1), y5=(-y2)) -> y1[3:0], y2[3:0], y3[3:0], y4[3:0], y5[3:0]"
Full adder,"module fulladder (
    input  logic a, b, cin,
    output logic s, cout
);
    logic p, g;

    assign p    = a ^ b;
    assign g    = a & b;
    assign s    = p ^ cin;
    assign cout = g | (p & cin);
endmodule","library IEEE;
use IEEE.STD_LOGIC_1164.ALL;

entity fulladder is
    port (
        a, b, cin : in  STD_LOGIC;
        s, cout   : out STD_LOGIC
    );
end fulladder;

architecture synth of fulladder is
    signal p, g : STD_LOGIC;
begin
    p    <= a xor b;
    g    <= a and b;
    s    <= p xor cin;
    cout <= g or (p and cin);
end synth;",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,"Hardware description language (HDL)
Specify logic function using CAD (produces or synthesizes the optimized gates, most commercial designs built using HDLs)",,
,"Faster simulation (input applied -> output checked for correction)
HDL -> netlist (describing the hardware)
Behavioral: Focused on circuit behavior
Structural: Hierarchy of the circuit",,
Simple module,"module example(input logic a, b, c, output logic y);
    assign y = ~a & ~b & ~c | a & ~b & ~c | a & ~b & c;
endmodule",,
Combinational circuit,"module sevenseg(input logic [3:0] data, output logic [6:0] segments);
    always_comb
        case (data)
            0: segments = 7'b111_1110;
            1: segments = 7'b011_0000;
            2: segments = 7'b110_1101;
            3: segments = 7'b111_1001;
            4: segments = 7'b011_0011;
            5: segments = 7'b101_1011;
            6: segments = 7'b101_1111;
            7: segments = 7'b111_0000;
            8: segments = 7'b111_1111;
            9: segments = 7'b111_0111;
            default: segments = 7'b000_0000;
        endcase
endmodule",,
Multiplexers,"module example(input logic s, s0, s1, output logic y);
    assign y = s ? S1 : s0;
endmodule
-> multiplexers if there are any",,
Sequential,"idioms to describe latches, flip-flops and FSM
always @(sensitivity list)
    statement;",,
,"module flop(input logic clk, input logic [3:0] d, output logic [3:0] q);
    always_ff @(posedge clk)
        q <= d // -> assignment (not smaller than equal)
endmodule",,
FSM implementation,,,
Delays,"module example(input logic a, b, c, output logic y);
    logic ab, bb, cb, n1, n2, n3;
    assign #1 {ab, bb, cb} = ~{a, b, c};
    assign #2 n1 = ab & bb & cb;
    assign #2 n2 = a & bb & cb;
    assign #2 n3 = a & bb & c;
    assign #4 y = n1|n2|n3;
endmodule",,
Testbench,"a, b, c -> y timing diagrams
Test module (not synthesizable) -> Different testing types: 1. simple, 2. self-checking, 3. self-checking without types

module testbench1();
    logic a, b, c;
    logic y;
    // instantiate device under test
    sillyfunction dut(a, b, c, y);
    // apply inputs
    initial begin
        a = 0; b = 0; c = 0; #10;
        c = 1; #10;
        b = 1; c = 0; #10;
        c = 1; #10;
        a = 1; b = 0; c = 0; #10;
        c = 1; #10;
        b = 1; c = 0; #10;
        c = 1; #10;
    end
endmodule",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
PLAs (Programmable logic arrays),"AND array followed by OR array, combinational logic only, fixed internal connections
INPUTS -> (IMPLICANTS = AND_ARRAY(INPUTS), OUTPUTS = OR_ARRAY(IMPLICANTS)), DOT notation",,
FPGA (Field programmable gate arrays),"Array of logic elements (Les), Combinational and sequential logic, programmable internal connections, memory and FPS (e.g. multiplicators)
LEs (Logic elements): perform logic, composed of LUTs (Look-up tables, flip-flops, multiplexers connect LUT and flip-flops
IOEs (Input/output elements): interface with outside world
Programmable interconnections: connect LEs and IOEs
INPUTS -> (A1, R1 = IOEs(INPUTS, O1),  O1 = LEs(...)) -> OUTPUTS",,
Design flow,"Using a CAD tool (such as Altera's Quartus II)
1. Enter the design using schematic entry or an HDL
2. Simulate the design
3. Synthesize design and map it onto FPGA
4. Download the configuration onto the FPGA
5. Test the design",,
